id,ПІБ,Округ,Висування,Номер і дата реєстрації,Номер та дата рішення про скасування реєстрації кандидата,Дата народження,Основні відомості,Передвиборна програма,Фотографія,Довірені особи
2282,Юзьвак Ігор Ярославович,163,Самовисування,1047 від 18.06.2019,,21 травня 1982,"народився 21 травня 1982 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, адвокат, член ПОЛІТИЧНОЇ ПАРТІЇ ""ДОБРИЙ САМАРЯНИН"", проживає в місті Тернополі, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16116pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16116.jpg,
2283,Боярський Вадим Андрійович,164,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,12 квiтня 1968,"народився 12 квiтня 1968 року в смт Шумськ Шумського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, департамент соціального захисту населення Тернопільської обласної державної адміністрації, безпартійний, проживає в місті Шумськ Шумського району Тернопільської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18937pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18937.jpg,
2284,Василів Ігор Володимирович,164,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 03.08.2019,16 листопада 1979,"народився 16 листопада 1979 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21140pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21140.jpg,"Гесюк Юлія Володимирівна,Іванечко Павло Мирославович,Сметаніна Марія Олександрівна"
2285,Головко Михайло Йосифович,164,"політична партія Всеукраїнське об’єднання ""Свобода""",1142 від 22.06.2019,,3 травня 1983,"народився 3 травня 1983 року в селі Токи Підволочиського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Тернополі, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17603pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17603.jpg,"Глиняна Ольга Анатоліївна,Гуцалюк Андрій Романович"
2286,Дацків Ігор Васильович,164,Самовисування,1096 від 20.06.2019,,11 листопада 1979,"народився 11 листопада 1979 року в селі Городниця Підволочиського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в селі Городниця Підволочиського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17225pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17225.jpg,
2287,Іванусь Богдан Іванович,164,Самовисування,1003 від 14.06.2019,,21 лютого 1997,"народився 21 лютого 1997 року в селі Кошляки Підволочиського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник студентського відділу, Львівський національний університет імені Івана Франка, безпартійний, проживає в селі Кошляки Підволочиського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15358pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15358.jpg,"Качмар Володимир Михайлович,Сухий Олексій Миколайович"
2288,Кравець Володимир Васильович,164,Самовисування,1047 від 18.06.2019,,15 жовтня 1967,"народився 15 жовтня 1967 року в селі Бутин Збаразького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, Вишнівецький селищний голова Збаразького району Тернопільської області, член ПОЛІТИЧНОЇ ПАРТІЇ ""ДОБРИЙ САМАРЯНИН"", проживає в селі Бутин Збаразького району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16105pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16105.jpg,
2289,Купина Василь Володимирович,164,Самовисування,1139 від 22.06.2019,,27 лютого 1980,"народився 27 лютого 1980 року в селі Опрілівці Збаразького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник дільниці – керівник проектів, ПП ""Станіслав-монтаж"", член політичної партії ""Громадянська позиція"", проживає в селі Білі Ослави Надвірнянського району Івано-Франківської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17904pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17904.jpg,
2290,Левчук Ігор Іванович,164,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,2 серпня 1956,"народився 2 серпня 1956 року в місті Ланівці Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в селі Гриньки Лановецького району Тернопільської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21368pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21368.jpg,
2291,Панчук Іван Миколайович,164,Самовисування,1047 від 18.06.2019,,21 сiчня 1992,"народився 21 сiчня 1992 року в селі Бортники Тлумацького району Івано-Франківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, відділ освіти, молоді та спорту Шумської районної державної адміністрації, безпартійний, проживає в селі Піщатинці Шумського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15673pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15673.jpg,
2292,Салко Віта Степанівна,164,"Політична Партія ""ГОЛОС""",1081 від 19.06.2019,,11 травня 1976,"народилася 11 травня 1976 року в місті Волочиськ Хмельницької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійнa, проживає в смт Підволочиськ Підволочиського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17030pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17030.jpg,"Кізюк Іван Йосипович,Кусий Василь Петрович,Салко Юрій Володимирович"
2293,Тимощук Роман Афанасійович,164,"ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА""",1285 від 25.06.2019,,24 вересня 1987,"народився 24 вересня 1987 року в селі Білокриниця Кременецького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАЗОМ СИЛА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21333pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21333.jpg,
2294,Чоботарь Валерій Георгійович,164,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,17 квiтня 1976,"народився 17 квiтня 1976 року в селі Михайлівка Глибоцького району Чернівецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18882pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18882.jpg,
2295,Яциковський Богдан Ігорович,164,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,29 жовтня 1984,"народився 29 жовтня 1984 року в місті Збараж Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови з економічного розвитку та міжнародної діяльності, Державна комісія України по запасах корисних копалин, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18711pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18711.jpg,"Берекета Василь Андрійович,Іваницька Вікторія Григорівна,Яциковський Ігор Ярославович"
2296,Горба Віталій Вячеславович,165,Самовисування,1047 від 18.06.2019,,15 травня 1982,"народився 15 травня 1982 року в місті Зборів Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрисконсульт, ПАП ""Добрий самарянин"", безпартійний, проживає в місті Зборів Зборівського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16102pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16102.jpg,
2297,Кісілевич Володимир Володимирович,165,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,,27 травня 1994,"народився 27 травня 1994 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник сільського голови, Колодненська сільська рада, безпартійний, проживає в селі Шимківці Збаразького району Тернопільської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21149pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21149.jpg,"Бобів Ганна Петрівна,Рунько Ігор Володимирович"
2298,Мартюк Василь Іванович,165,"Політична Партія ""ГОЛОС""",1081 від 19.06.2019,,20 вересня 1985,"народився 20 вересня 1985 року в місті Зборів Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, благодійний фонд ""Агрохолдинг ""Мрія"", безпартійний, проживає в місті Зборів Зборівського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16432pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16432.jpg,"Гребеняк Тарас Володимирович,Ковбасюк Ігор Ярославович"
2299,Мисик Володимир Святославович,165,"політична партія Всеукраїнське об’єднання ""Свобода""",1220 від 24.06.2019,,23 березня 1986,"народився 23 березня 1986 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з науково-педагогічної та виховної роботи, Тернопільський обласний комунальний інститут післядипломної педагогічної освіти, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Тернополі, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17743pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17743.jpg,"Лихий Богдан Петрович,Постолан Оксана Богданівна"
2300,Репела Петро Йосипович,165,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,11 листопада 1970,"народився 11 листопада 1970 року в селі Вікторівка Козівського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Козівська районна рада, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Вікторівка Козівського району Тернопільської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19026pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19026.jpg,
2301,Саранчук Богдан Володимирович,165,Самовисування,1096 від 20.06.2019,,2 жовтня 1964,"народився 2 жовтня 1964 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Зборів Зборівського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17201pd410f01=27.pdf,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17201.jpg,"Микитюк Петро Петрович,Савчук Любов Іванівна,Чикало Володимир Степанович"
2302,Чайківський Іван Адамович,165,Самовисування,1003 від 14.06.2019,протокол від 30.07.2019,29 травня 1972,"народився 29 травня 1972 року в селі Настасів Тернопільського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Корпорація ""Агропродсервіс"", член Аграрної партії України, проживає в селі Великий Ходачків Козівського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15423pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15423.jpg,"Березовський Юрій Романович,Боровська Василина Григорівна,Козелко Віктор Андрійович"
2303,Черник Микола Євгенович,165,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,21 сiчня 1966,"народився 21 сiчня 1966 року в селі Конюхи Козівського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в місті Зборів Зборівського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21375pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21375.jpg,
2304,Чудик Арсен Ігорович,165,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,20 квiтня 1980,"народився 20 квiтня 1980 року в селі Дичків Тернопільського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник, Фонд комунального майна у Тернопільському районі, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в смт Великі Бірки Тернопільського району Тернопільської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19376pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19376.jpg,
2305,Шидлюх Людмила Василівна,165,"Політична Партія ""ПАТРІОТ""",1284 від 25.06.2019,,31 жовтня 1964,"народилася 31 жовтня 1964 року в селі Великий Глибочок Тернопільського району Тернопільської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в смт Велика Березовиця Тернопільського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21185pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21185.jpg,"Куфель Марія Миколаївна,Тисліцька Марія Григорівна,Шидлюк Сергій Володимирович"
2306,Юрик Тарас Зіновійович,165,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,9 грудня 1980,"народився 9 грудня 1980 року в селі Кобилля Збаразького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в місті Тернополі, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18896pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18896.jpg,
2307,Антонов Ярослав Романович,166,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,23 лютого 1971,"народився 23 лютого 1971 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта середня спеціальна, тимчасово не працює, безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21384pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21384.jpg,
2308,Бліхар Володимир Васильович,166,"політична партія Всеукраїнське об’єднання ""Батьківщина""",1217 від 24.06.2019,,11 березня 1979,"народився 11 березня 1979 року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19101pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19101.jpg,
2309,Брацюнь Степан Іванович,166,політична партія Конгрес Українських Націоналістів,1140 від 22.06.2019,,15 лютого 1963,"народився 15 лютого 1963 року в селі Ступник Хмільницького району Вінницької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, політична партія Конгрес Українських Націоналістів, член політичної партії Конгрес Українських Націоналістів, проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Конгрес Українських Націоналістів.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20372pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=20372.jpg,"Віват Іван Осипович,Лазоришинець Василь Васильович,Ткач Володимир Михайлович"
2310,Василіцький Роман Романович,166,"Політична партія ""Об’єднання ""САМОПОМІЧ""",1053 від 18.06.2019,,3 листопада 1963,"народився 3 листопада 1963 року в місті Тернополі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, член Політичної партії ""Об’єднання ""САМОПОМІЧ"", проживає в місті Тернополі, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16441pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16441.jpg,
2311,Вітвіцький Олег Іванович,166,"Політична Партія ""ГОЛОС""",1081 від 19.06.2019,,10 червня 1976,"народився 10 червня 1976 року в селі Застіноче Теребовлянського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, безробітний, безпартійний, проживає в селі Застіноче Теребовлянського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17035pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=17035.jpg,"Аніловський Ігор Йосипович,Вінницький Андрій Сергійович,Мацьків Леся Степанівна"
2312,Люшняк Микола Володимирович,166,Самовисування,1047 від 18.06.2019,протокол від 30.07.2019,8 лютого 1974,"народився 8 лютого 1974 року в місті Бережани Бережанського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Петриків Тернопільського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16566pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16566.jpg,"Головецький Сергій Михайлович,Комінко Ігор Степанович,Шафранський Віталій Богданович"
2313,Сеник Василь Васильович,166,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,26 грудня 1962,"народився 26 грудня 1962 року в селі Возилів Бучацького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Бучацька районна організація Українського товариства мисливців і рибалок, член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в селі Трибухівці Бучацького району Тернопільської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18732pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18732.jpg,
2314,Сопель Ігор Михайлович,166,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,,16 вересня 1974,"народився 16 вересня 1974 року в місті Хоростків Гусятинського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, керівник, Хоростківський регіональний структурний підрозділ ТОВ ""Агробізнес"", безпартійний, проживає в місті Хоростків Гусятинського району Тернопільської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21160pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21160.jpg,"Дідик Тарас Олегович,Пасіка Володимир Васильович,Сопель Ольга Мирославівна"
2315,Стечишин Алла Василівна,166,Самовисування,1209 від 24.06.2019,,26 серпня 1982,"народилася 26 серпня 1982 року в місті Коломия Івано-Франківської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, Завадівський сільський голова Монастириського району Тернопільської області, безпартійнa, проживає в місті Теребовля Теребовлянського району Тернопільської області, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19410pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19410.jpg,"Предко Зоряна Анатоліївна,Простий Володимир Парфентійович,Струк Богдан Михайлович"
2316,Холоднюк Зеновій Васильович,166,Самовисування,1047 від 18.06.2019,,12 серпня 1961,"народився 12 серпня 1961 року в селі Улашківці Чортківського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Селянська партія України, член Селянської партії України, проживає в місті Києві, судимість відсутня, самовисування.",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15741pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=15741.jpg,"Верещагін Сергій Германович,Зигмунт Олександр Петрович,Кузів Роман Михайлович"
2317,Барна Олег Степанович,167,"Політична партія ""Європейська Солідарність""",1210 від 24.06.2019,,18 квiтня 1967,"народився 18 квiтня 1967 року в селі Нагірянка Чортківського району Тернопільсьої області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Нагірянка Чортківського району Тернопільської області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18904pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=18904.jpg,
2318,Гевко Володимир Леонідович,167,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",1288 від 25.06.2019,протокол від 29.07.2019,20 серпня 1975,"народився 20 серпня 1975 року в смт Товсте Заліщицького району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Навчально-консалтингова компанія ""Профі-Центр"", безпартійний, проживає в місті Тернополі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21170pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21170.jpg,"Питель Тарас Ігорович,Човган Андрій Анатолійович,Шатарський Артур Яремович"
2319,Запоточний Ігор Володимирович,167,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",1278 від 25.06.2019,,9 липня 1955,"народився 9 липня 1955 року в місті Заліщики Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в місті Заліщики Заліщицького району Тернопільської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21392pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21392.jpg,
2320,Іванишин Володимир Васильович,167,"ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ""",1286 від 25.06.2019,,6 вересня 1961,"народився 6 вересня 1961 року в селі Юр’ямпіль Борщівського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, ректор, Подільський державний аграрно-технічний університет, безпартійний, проживає в місті Борщів Тернопільської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СИЛА І ЧЕСТЬ"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21245pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=21245.jpg,
2321,Квач Алла Василівна,167,"Політична Партія ""ГОЛОС""",1081 від 19.06.2019,,15 лютого 1966,"народилася 15 лютого 1966 року в селі Гаврилівці Кіцманського району Чернівецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, Заліщицький міський голова, безпартійнa, проживає в місті Заліщики Заліщицького району Тернопільської області, судимість відсутня, суб’єкт висування – Політична Партія ""ГОЛОС"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16464pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=16464.jpg,"Велиган Ігор Богданович,Романюк Степан Богданович,Хруставка Любомир Михайлович"
2322,Махніцький Андрій Васильович,167,"ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА""",1215 від 24.06.2019,,10 березня 1986,"народився 10 березня 1986 року в селі Нивра Борщівського району Тернопільської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Громадська організація ""Біличанський рибалка"", член ПОЛІТИЧНОЇ ПАРТІЇ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""РАДИКАЛЬНА ПАРТІЯ ОЛЕГА ЛЯШКА"".",https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19840pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showcandimgpt001f01=919pf7201=19840.jpg,"Коротаєв Олександр Васильович,Крупа Любов Миколаївна,Макар Йосип Іванович"
